,Date,station_name,pm25_value,measurement_quality,Latitude,Longitude,Altitude..m.,Datee
5175,91,Camden Kerbside,34,V,51.54421,-0.175269,50,91
5189,91,Haringey Roadside,33,V,51.5993,-0.068218,10,91
5198,91,London Bexley,34,V,51.466029999999996,0.184806,13,91
5199,91,London Bloomsbury,32,V,51.522290000000005,-0.125889,20,91
5200,91,London Eltham,33,V,51.45258,0.070766,60,91
5201,91,London Harlington,28,V,51.48879,-0.441614,35,91
5202,91,London Harrow Stanmore,30,V,51.617333,-0.298777,79,91
5203,91,London Marylebone Road,37,V,51.522529999999996,-0.154611,35,91
5204,91,London N. Kensington,34,V,51.52105,-0.21349200000000002,5,91
5238,92,Camden Kerbside,52,V,51.54421,-0.175269,50,92
5252,92,Haringey Roadside,57,V,51.5993,-0.068218,10,92
5261,92,London Bexley,59,V,51.466029999999996,0.184806,13,92
5262,92,London Bloomsbury,56,V,51.522290000000005,-0.125889,20,92
5263,92,London Eltham,59,V,51.45258,0.070766,60,92
5264,92,London Harlington,51,V,51.48879,-0.441614,35,92
5265,92,London Harrow Stanmore,60,V,51.617333,-0.298777,79,92
5266,92,London Marylebone Road,58,V,51.522529999999996,-0.154611,35,92
5267,92,London N. Kensington,59,V,51.52105,-0.21349200000000002,5,92
5268,92,London Teddington Bushy Park,52,V,51.425286,-0.34560599999999997,11,92
5303,93,Camden Kerbside,51,V,51.54421,-0.175269,50,93
5316,93,Haringey Roadside,54,V,51.5993,-0.068218,10,93
5325,93,London Bexley,48,V,51.466029999999996,0.184806,13,93
5326,93,London Bloomsbury,53,V,51.522290000000005,-0.125889,20,93
5327,93,London Harlington,56,V,51.48879,-0.441614,35,93
5328,93,London Harrow Stanmore,63,V,51.617333,-0.298777,79,93
5329,93,London Marylebone Road,54,V,51.522529999999996,-0.154611,35,93
5330,93,London N. Kensington,58,V,51.52105,-0.21349200000000002,5,93
5331,93,London Teddington Bushy Park,55,V,51.425286,-0.34560599999999997,11,93
5365,94,Camden Kerbside,23,V,51.54421,-0.175269,50,94
5378,94,Haringey Roadside,26,V,51.5993,-0.068218,10,94
5387,94,London Bexley,25,V,51.466029999999996,0.184806,13,94
5388,94,London Bloomsbury,23,V,51.522290000000005,-0.125889,20,94
5389,94,London Harlington,24,V,51.48879,-0.441614,35,94
5390,94,London Harrow Stanmore,28,V,51.617333,-0.298777,79,94
5391,94,London Marylebone Road,31,V,51.522529999999996,-0.154611,35,94
5392,94,London N. Kensington,26,V,51.52105,-0.21349200000000002,5,94
5393,94,London Teddington Bushy Park,23,V,51.425286,-0.34560599999999997,11,94
5429,95,Camden Kerbside,13,V,51.54421,-0.175269,50,95
5443,95,Haringey Roadside,11,V,51.5993,-0.068218,10,95
5452,95,London Bexley,11,V,51.466029999999996,0.184806,13,95
5453,95,London Bloomsbury,9,V,51.522290000000005,-0.125889,20,95
5454,95,London Harlington,11,V,51.48879,-0.441614,35,95
5455,95,London Harrow Stanmore,13,V,51.617333,-0.298777,79,95
5456,95,London Marylebone Road,13,V,51.522529999999996,-0.154611,35,95
5457,95,London N. Kensington,11,V,51.52105,-0.21349200000000002,5,95
5458,95,London Teddington Bushy Park,9,V,51.425286,-0.34560599999999997,11,95
5494,96,Camden Kerbside,9,V,51.54421,-0.175269,50,96
5508,96,Haringey Roadside,6,V,51.5993,-0.068218,10,96
5517,96,London Bexley,6,V,51.466029999999996,0.184806,13,96
5518,96,London Bloomsbury,5,V,51.522290000000005,-0.125889,20,96
5519,96,London Harlington,6,V,51.48879,-0.441614,35,96
5520,96,London Harrow Stanmore,8,V,51.617333,-0.298777,79,96
5521,96,London Marylebone Road,11,V,51.522529999999996,-0.154611,35,96
5522,96,London N. Kensington,7,V,51.52105,-0.21349200000000002,5,96
5523,96,London Teddington Bushy Park,5,V,51.425286,-0.34560599999999997,11,96
5558,97,Camden Kerbside,9,V,51.54421,-0.175269,50,97
5572,97,Haringey Roadside,7,V,51.5993,-0.068218,10,97
5580,97,London Bexley,7,V,51.466029999999996,0.184806,13,97
5581,97,London Bloomsbury,6,V,51.522290000000005,-0.125889,20,97
5582,97,London Harlington,8,V,51.48879,-0.441614,35,97
5583,97,London Harrow Stanmore,8,V,51.617333,-0.298777,79,97
5584,97,London Marylebone Road,13,V,51.522529999999996,-0.154611,35,97
5585,97,London N. Kensington,8,V,51.52105,-0.21349200000000002,5,97
5586,97,London Teddington Bushy Park,6,V,51.425286,-0.34560599999999997,11,97
5621,98,Camden Kerbside,7,V,51.54421,-0.175269,50,98
5635,98,Haringey Roadside,6,V,51.5993,-0.068218,10,98
5643,98,London Bexley,7,V,51.466029999999996,0.184806,13,98
5644,98,London Bloomsbury,6,V,51.522290000000005,-0.125889,20,98
5645,98,London Harlington,9,V,51.48879,-0.441614,35,98
5646,98,London Harrow Stanmore,7,V,51.617333,-0.298777,79,98
5647,98,London Marylebone Road,10,V,51.522529999999996,-0.154611,35,98
5648,98,London N. Kensington,8,V,51.52105,-0.21349200000000002,5,98
5649,98,London Teddington Bushy Park,7,V,51.425286,-0.34560599999999997,11,98
