date,lat,lon,indicator,mu,var
92.0,49.7,-10.7,0.0,2.1866943176481097,0.003977245763203019
92.0,49.7,-10.4,0.0,2.230749848733039,0.00370856544507432
92.0,49.7,-10.2,0.0,2.260639954036841,0.003547990322821023
92.0,49.7,-9.9,0.0,2.3063190442104458,0.0033326525922527032
92.0,49.7,-9.7,0.0,2.337374805524305,0.003204746779791045
92.0,49.7,-9.4,0.0,2.3849363957973466,0.0030340121735707697
92.0,49.7,-9.2,0.0,2.4173407558363413,0.002932903130785828
92.0,49.7,-8.9,0.0,2.467070813024446,0.0027979985478356886
92.0,49.7,-8.7,0.0,2.501019464485474,0.002717919195013059
92.0,49.7,-8.4,0.0,2.553213914693282,0.002610409966867966
92.0,49.7,-8.1,0.0,2.6070251528348827,0.0025155550457571056
92.0,49.7,-7.9,0.0,2.6438452167559636,0.0024580531868996485
92.0,49.7,-7.6,0.0,2.7005587206077912,0.0023786140383712665
92.0,49.7,-7.4,0.0,2.7393893320358824,0.00232924629549364
92.0,49.7,-7.1,0.0,2.7992127676658134,0.002259127959464534
92.0,49.7,-6.9,0.0,2.8401653420940067,0.0022142671653157696
92.0,49.7,-6.6,0.0,2.9032156805574365,0.002148743452714022
92.0,49.7,-6.4,0.0,2.9463288677750854,0.002105747338493196
92.0,49.7,-6.1,0.0,3.0125945565511443,0.0020416666027615175
92.0,49.7,-5.9,0.0,3.0578079652195616,0.001998999619637691
92.0,49.7,-5.6,0.0,3.127108309696603,0.0019349401809696744
92.0,49.7,-5.3,0.0,3.198056759561346,0.0018709658590630165
92.0,49.7,-5.1,0.0,3.2461785138138164,0.0018286132009356015
92.0,49.7,-4.8,0.0,3.319417552965834,0.0017661685975055618
92.0,49.7,-4.6,0.0,3.368822343781377,0.0017257704215378664
92.0,49.7,-4.3,0.0,3.4435431484123,0.0016681135171615475
92.0,49.7,-4.1,0.0,3.4935938225082617,0.001632393907042944
92.0,49.7,-3.8,0.0,3.5686879170803816,0.0015843786168644144
92.0,49.7,-3.6,0.0,3.6185414884913656,0.0015570417572142495
92.0,49.7,-3.3,0.0,3.692587225978674,0.0015248384959571674
92.0,49.7,-3.0,0.0,3.765193205172095,0.0015054940585276918
92.0,49.7,-2.8,0.0,3.812461945504587,0.0015010703377548401
92.0,49.7,-2.5,0.0,3.8811213130207145,0.0015091885165798133
92.0,49.7,-2.3,0.0,3.925065556202141,0.0015256374966830177
92.0,49.7,-2.0,0.0,3.987644533105854,0.001568906355925101
92.0,49.7,-1.8,0.0,4.026782124083472,0.0016113111912402433
92.0,49.7,-1.5,0.0,4.080995167187272,0.0016971708286751801
92.0,49.7,-1.3,0.0,4.113779184292683,0.0017703017217069062
92.0,49.7,-1.0,0.0,4.1573063505361425,0.0019055177322028869
92.0,49.7,-0.8,0.0,4.182212997514467,0.0020135709232449073
92.0,49.7,-0.5,0.0,4.21284408414101,0.002203886925567604
92.0,49.7,-0.2,0.0,4.2347820744192015,0.002429500869244432
92.0,49.7,0.0,0.0,4.244269909695953,0.002600183078110639
92.0,49.7,0.3,0.0,4.25040394246003,0.0028874031740072723
92.0,49.7,0.5,0.0,4.248909597399089,0.0031000306134787753
92.0,49.7,0.8,0.0,4.238057552278667,0.0034511073837473288
92.0,49.7,1.0,0.0,4.224997379436464,0.003706719934125295
92.0,49.7,1.3,0.0,4.19661726163707,0.004122546979290127
92.0,49.7,1.5,0.0,4.1718638782477715,0.004421315725655789
92.0,49.7,1.8,0.0,4.126127712532265,0.004901552554086822
92.0,49.9,-10.7,0.0,2.1763492194911525,0.003622297368974397
92.0,49.9,-10.4,0.0,2.220631409013853,0.0033682707603800905
92.0,49.9,-10.2,0.0,2.250704568026478,0.0032171175211152076
92.0,49.9,-9.9,0.0,2.296713152423448,0.003015358116374337
92.0,49.9,-9.7,0.0,2.3280296487020413,0.002896126651536431
92.0,49.9,-9.4,0.0,2.376052258357019,0.0027378408903339334
92.0,49.9,-9.2,0.0,2.4088158014172047,0.0026446679938121583
92.0,49.9,-8.9,0.0,2.459171977637733,0.002521157897248996
92.0,49.9,-8.7,0.0,2.4936022184681588,0.002448362335362649
92.0,49.9,-8.4,0.0,2.5466260797002156,0.0023513658387875553
92.0,49.9,-8.1,0.0,2.601408755198753,0.002266603130316359
92.0,49.9,-7.9,0.0,2.638963199014221,0.0022156394780573447
92.0,49.9,-7.6,0.0,2.696920585530765,0.0021457882314380784
92.0,49.9,-7.4,0.0,2.7366825871434983,0.0021027026288359257
92.0,49.9,-7.1,0.0,2.798068899181889,0.0020418996545785014
92.0,49.9,-6.9,0.0,2.8401812674831923,0.0020032057127730434
92.0,49.9,-6.6,0.0,2.90516054859705,0.0019469059540578415
92.0,49.9,-6.4,0.0,2.949692921514919,0.0019100573414063099
92.0,49.9,-6.1,0.0,3.0182987544801967,0.0018552090130808758
92.0,49.9,-5.9,0.0,3.0652194275920635,0.0018187043064437018
92.0,49.9,-5.6,0.0,3.1373110620035254,0.0017638845707597338
92.0,49.9,-5.3,0.0,3.211336990177116,0.0017091085384144562
92.0,49.9,-5.1,0.0,3.2616736222536438,0.001672835019180238
92.0,49.9,-4.8,0.0,3.3384838322534813,0.0016193696151440397
92.0,49.9,-4.6,0.0,3.3904361845404334,0.0015848223824751254
92.0,49.9,-4.3,0.0,3.4692270933889073,0.0015356558654294468
92.0,49.9,-4.1,0.0,3.522154270386981,0.0015053518262940107
92.0,49.9,-3.8,0.0,3.6017993848056604,0.001464992907104731
92.0,49.9,-3.6,0.0,3.6548372364414083,0.0014423875050611787
92.0,49.9,-3.3,0.0,3.73386801126103,0.0014166137105872756
92.0,49.9,-3.0,0.0,3.8116831024203814,0.0014027661338375007
92.0,49.9,-2.8,0.0,3.8625312520354544,0.0014014169198190041
92.0,49.9,-2.5,0.0,3.9366875803793193,0.0014131580757821365
92.0,49.9,-2.3,0.0,3.9843600715178336,0.0014313062834166626
92.0,49.9,-2.0,0.0,4.052585007961485,0.001475960609817447
92.0,49.9,-1.8,0.0,4.095495292281182,0.0015184673946103903
92.0,49.9,-1.5,0.0,4.155330157743468,0.001603180425297521
92.0,49.9,-1.3,0.0,4.191805905227949,0.0016746494266635626
92.0,49.9,-1.0,0.0,4.240730075855526,0.0018059880857322177
92.0,49.9,-0.8,0.0,4.269107085240297,0.001910520502950589
92.0,49.9,-0.5,0.0,4.304693418772394,0.002094146703745868
92.0,49.9,-0.2,0.0,4.331216343072145,0.002311398344898512
92.0,49.9,0.0,0.0,4.343517378355027,0.002475598685309898
92.0,49.9,0.3,0.0,4.353452903582541,0.002751789070166378
92.0,49.9,0.5,0.0,4.35418553971627,0.002956234053375691
92.0,49.9,0.8,0.0,4.346169723539177,0.0032938829594888817
92.0,49.9,1.0,0.0,4.334642866630737,0.0035398365437650627
92.0,49.9,1.3,0.0,4.307997495145211,0.003940237656623963
92.0,49.9,1.5,0.0,4.284011754704325,0.004228177978090318
92.0,49.9,1.8,0.0,4.238832035673087,0.0046915068622992145
92.0,50.1,-10.7,0.0,2.16585773746711,0.003292693395636211
92.0,50.1,-10.4,0.0,2.210320731289818,0.003053060635755692
92.0,50.1,-10.2,0.0,2.2405413000376315,0.0029110929770250035
92.0,50.1,-9.9,0.0,2.2868176846661754,0.0027224690489256963
92.0,50.1,-9.7,0.0,2.3183479469267865,0.0026115619779947846
92.0,50.1,-9.4,0.0,2.3667517721694447,0.0024651261934074097
92.0,50.1,-9.2,0.0,2.3998147310878992,0.0023794461414993738
92.0,50.1,-8.9,0.0,2.450696992784108,0.0022666091892884896
92.0,50.1,-8.7,0.0,2.485534922823286,0.002200584939025594
92.0,50.1,-8.4,0.0,2.5392660822617517,0.002113295853849482
92.0,50.1,-8.1,0.0,2.594884113496944,0.002037789494545483
92.0,50.1,-7.9,0.0,2.6330742526099047,0.001992797402208568
92.0,50.1,-7.6,0.0,2.692115339583992,0.0019316813853417596
92.0,50.1,-7.4,0.0,2.732693776225194,0.0018943142715555567
92.0,50.1,-7.1,0.0,2.79545828749096,0.0018419994490167545
92.0,50.1,-6.9,0.0,2.8385992478487467,0.0018089393055401594
92.0,50.1,-6.6,0.0,2.9052988251074887,0.001761101735429686
92.0,50.1,-6.4,0.0,2.951103647766057,0.0017299235615859262
92.0,50.1,-6.1,0.0,3.0218186801082143,0.0016836470012610199
92.0,50.1,-5.9,0.0,3.070285897022279,0.001652905395093472
92.0,50.1,-5.6,0.0,3.1449186121417885,0.0016067954002100396
92.0,50.1,-5.3,0.0,3.2217623425236424,0.0015607771504698672
92.0,50.1,-5.1,0.0,3.27413644790896,0.0015303418561972474
92.0,50.1,-4.8,0.0,3.3542469943157878,0.0014855766700873053
92.0,50.1,-4.6,0.0,3.408564320323363,0.0014567504838446134
92.0,50.1,-4.3,0.0,3.4911505367854025,0.0014159643609126483
92.0,50.1,-4.1,0.0,3.546771768015948,0.001391058801902864
92.0,50.1,-3.8,0.0,3.6306978560975174,0.001358413143428456
92.0,50.1,-3.6,0.0,3.6867439222047236,0.0013406303581062322
92.0,50.1,-3.3,0.0,3.770504344330355,0.0013214983885069505
92.0,50.1,-3.0,0.0,3.8532870054002397,0.001313444257114924
92.0,50.1,-2.8,0.0,3.9075631250292213,0.0013154097817236773
92.0,50.1,-2.5,0.0,3.987006430114168,0.0013311906306777029
92.0,50.1,-2.3,0.0,4.038280192481059,0.0013513487018467615
92.0,50.1,-2.0,0.0,4.111982644991718,0.001397894923721605
92.0,50.1,-1.8,0.0,4.158569328409272,0.001440862869043138
92.0,50.1,-1.5,0.0,4.223907536130949,0.00152499093147666
92.0,50.1,-1.3,0.0,4.264014269106817,0.0015951819952544199
92.0,50.1,-1.0,0.0,4.318272882334354,0.001723223752096846
92.0,50.1,-0.8,0.0,4.350098017683993,0.0018246197376083277
92.0,50.1,-0.5,0.0,4.390635717208022,0.0020021193100069642
92.0,50.1,-0.2,0.0,4.421774741308931,0.002211545044660182
92.0,50.1,0.0,0.0,4.436928719802072,0.002369600598218598
92.0,50.1,0.3,0.0,4.450752534750014,0.002635228345223009
92.0,50.1,0.5,0.0,4.453787148927958,0.002831772436171754
92.0,50.1,0.8,0.0,4.4487436815471435,0.0031563648260266586
92.0,50.1,1.0,0.0,4.438855240679774,0.0033928698446305367
92.0,50.1,1.3,0.0,4.41412116063699,0.0037781003345317013
92.0,50.1,1.5,0.0,4.391031717999777,0.004055340120470156
92.0,50.1,1.8,0.0,4.34661496606524,0.0045018866930405365
92.0,50.3,-10.7,0.0,2.1554859115076423,0.0029869182732913673
92.0,50.3,-10.4,0.0,2.2000885691747327,0.002761343560104274
92.0,50.3,-10.2,0.0,2.2304236739160865,0.002628282880401738
92.0,50.3,-9.9,0.0,2.2769096899465273,0.0024523003652199503
92.0,50.3,-9.7,0.0,2.308608634576742,0.002349341464737752
92.0,50.3,-9.4,0.0,2.3573159190634008,0.0022141284969223463
92.0,50.3,-9.2,0.0,2.390619318332955,0.0021354860160012045
92.0,50.3,-8.9,0.0,2.4419278605982355,0.0020325921793262892
92.0,50.3,-8.7,0.0,2.477099030220388,0.001972826445964538
92.0,50.3,-8.4,0.0,2.531413381568983,0.001894445867401919
92.0,50.3,-8.1,0.0,2.587727136320895,0.001827372973788157
92.0,50.3,-7.9,0.0,2.626450961247377,0.001787797115302083
92.0,50.3,-7.6,0.0,2.6864089925998225,0.0017345831491743721
92.0,50.3,-7.4,0.0,2.7276833743713444,0.0017023846841227133
92.0,50.3,-7.1,0.0,2.791631206160633,0.0016577513190512113
92.0,50.3,-6.9,0.0,2.835661384059992,0.0016298046765715639
92.0,50.3,-6.6,0.0,2.903858105121635,0.0015896840393782219
92.0,50.3,-6.4,0.0,2.9507773597758624,0.0015637078458050262
92.0,50.3,-6.1,0.0,3.023351110887407,0.0015253507482376999
92.0,50.3,-5.9,0.0,3.0731892707279003,0.0014999751048541366
92.0,50.3,-5.6,0.0,3.1500875596166966,0.0014620420442570693
92.0,50.3,-5.3,0.0,3.2294603320072293,0.0014243306394397433
92.0,50.3,-5.1,0.0,3.2836729052845746,0.0013994813364563601
92.0,50.3,-4.8,0.0,3.366777097555277,0.0013631138453653582
92.0,50.3,-4.6,0.0,3.4232505427178928,0.001339858842953541
92.0,50.3,-4.3,0.0,3.5093142623161664,0.0013073071264326857
92.0,50.3,-4.1,0.0,3.5674160124688683,0.0012877552417062874
92.0,50.3,-3.8,0.0,3.655302819373491,0.001262833280714658
92.0,50.3,-3.6,0.0,3.714145236891466,0.0012499305410389493
92.0,50.3,-3.3,0.0,3.8023229116748327,0.0012375989882179837
92.0,50.3,-3.0,0.0,3.889770944198068,0.0012355786254307508
92.0,50.3,-2.8,0.0,3.9472813602742463,0.0012410610125925408
92.0,50.3,-2.5,0.0,4.031736052304126,0.0012612414577000861
92.0,50.3,-2.3,0.0,4.0864391781401315,0.001283683138549792
92.0,50.3,-2.0,0.0,4.165382126271119,0.0013325751367955264
92.0,50.3,-1.8,0.0,4.215502810918234,0.0013763310410355035
92.0,50.3,-1.5,0.0,4.2861569046336525,0.0014603923606644434
92.0,50.3,-1.3,0.0,4.32978848751686,0.0015296646870448455
92.0,50.3,-1.0,0.0,4.389252636798674,0.001654960303631492
92.0,50.3,-0.8,0.0,4.424461103231291,0.0017535899970460174
92.0,50.3,-0.5,0.0,4.4698858386469205,0.0019255141607650887
92.0,50.3,-0.2,0.0,4.505616768945489,0.0021276506526689836
92.0,50.3,0.0,0.0,4.52362989849804,0.0022799059327001958
92.0,50.3,0.3,0.0,4.541384291568128,0.0025354606752019133
92.0,50.3,0.5,0.0,4.546770450866017,0.002724408304136133
92.0,50.3,0.8,0.0,4.544804214519508,0.0030363617721396283
92.0,50.3,1.0,0.0,4.536643316512966,0.003263667443561955
92.0,50.3,1.3,0.0,4.513980672873021,0.0036340526952600054
92.0,50.3,1.5,0.0,4.491910372898958,0.0039007742750480777
92.0,50.3,1.8,0.0,4.448462076618483,0.0043307569458713715
92.0,50.5,-10.7,0.0,2.145494449324867,0.0027035149430633108
92.0,50.5,-10.4,0.0,2.190200479844141,0.00249159548186116
92.0,50.5,-10.2,0.0,2.2206201497044566,0.0023671274986742014
92.0,50.5,-9.9,0.0,2.267261425014745,0.0022032519309003913
92.0,50.5,-9.7,0.0,2.2990860877478085,0.0021078464426478997
92.0,50.5,-9.4,0.0,2.3480215622957687,0.0019832131082901114
92.0,50.5,-9.2,0.0,2.3815075761531452,0.0019111494948623985
92.0,50.5,-8.9,0.0,2.433143467464398,0.0018174732678585945
92.0,50.5,-8.7,0.0,2.468573385135102,0.001763461920024578
92.0,50.5,-8.4,0.0,2.523345715586301,0.0016932109203317684
92.0,50.5,-8.1,0.0,2.580213060857705,0.0016337750584081963
92.0,50.5,-7.9,0.0,2.6193660343278964,0.0015990802422037101
92.0,50.5,-7.6,0.0,2.680069028077267,0.0015529674414705586
92.0,50.5,-7.4,0.0,2.7219143350790707,0.0015254097509657667
92.0,50.5,-7.1,0.0,2.786842077935261,0.001487683165572878
92.0,50.5,-6.9,0.0,2.8316151504906952,0.001464349571666938
92.0,50.5,-6.6,0.0,2.901073361033378,0.001431226739535275
92.0,50.5,-6.4,0.0,2.948939194024286,0.001409998329687015
92.0,50.5,-6.1,0.0,3.0231039731595812,0.001378923958006346
92.0,50.5,-5.9,0.0,3.074124243329779,0.0013585231053504724
92.0,50.5,-5.6,0.0,3.1529899092001687,0.0013282357856807942
92.0,50.5,-5.3,0.0,3.2345766217201954,0.001298372513936257
92.0,50.5,-5.1,0.0,3.2904089420455045,0.0012788463865459178
92.0,50.5,-4.8,0.0,3.3761671193113134,0.001250550053340735
92.0,50.5,-4.6,0.0,3.4345635011428994,0.0012326950341593939
92.0,50.5,-4.3,0.0,3.523746800523325,0.0012081921093872456
92.0,50.5,-4.1,0.0,3.5840863352961314,0.001193917926351281
92.0,50.5,-3.8,0.0,3.6755661171338443,0.0011766769735217187
92.0,50.5,-3.6,0.0,3.7369589350129804,0.0011686725726485164
92.0,50.5,-3.3,0.0,3.8291868159461626,0.0011632368064332574
92.0,50.5,-3.0,0.0,3.9209393956146785,0.001167423325881154
92.0,50.5,-2.8,0.0,3.9814493385392216,0.0011765785421781398
92.0,50.5,-2.5,0.0,4.070575558991533,0.0012014486053076076
92.0,50.5,-2.3,0.0,4.128491826276787,0.0012264014607049495
92.0,50.5,-2.0,0.0,4.212370149242215,0.0012780259119844993
92.0,50.5,-1.8,0.0,4.265836336657788,0.0013228540018268976
92.0,50.5,-1.5,0.0,4.341549395981106,0.0014073077316495428
92.0,50.5,-1.3,0.0,4.38855364595352,0.0014759851414501226
92.0,50.5,-1.0,0.0,4.453026609998323,0.0015990396365155415
92.0,50.5,-0.8,0.0,4.491509764196296,0.001695248284706546
92.0,50.5,-0.5,0.0,4.541694386431927,0.0018621204471182418
92.0,50.5,-0.2,0.0,4.581934845257661,0.0020574891543023795
92.0,50.5,0.0,0.0,4.602777700492521,0.0022042860968612063
92.0,50.5,0.3,0.0,4.624457058331736,0.002450265599666692
92.0,50.5,0.5,0.0,4.632216519636609,0.0026319349005764544
92.0,50.5,0.8,0.0,4.633397495180086,0.00293170032954634
92.0,50.5,1.0,0.0,4.627034835086941,0.0031500866261055535
92.0,50.5,1.3,0.0,4.606583749443007,0.0035060109371505845
92.0,50.5,1.5,0.0,4.585647299292578,0.003762444293590676
92.0,50.5,1.8,0.0,4.543368622597217,0.004176165095106769
92.0,50.6,-10.7,0.0,2.140720683353172,0.002569772869501236
92.0,50.6,-10.4,0.0,2.1854663169435424,0.002364511325180017
92.0,50.6,-10.2,0.0,2.215917955267396,0.002244212336571654
92.0,50.6,-9.9,0.0,2.262617702248924,0.002086179853481379
92.0,50.6,-9.7,0.0,2.2944898187089042,0.0019943991254030968
92.0,50.6,-9.4,0.0,2.343512029097322,0.001874812358086241
92.0,50.6,-9.2,0.0,2.3770681019458015,0.001805867128907211
92.0,50.6,-8.9,0.0,2.428830985945468,0.0017165321783263541
92.0,50.6,-8.7,0.0,2.464362447758425,0.0016652137879092904
92.0,50.6,-8.4,0.0,2.519316678827506,0.001598744882102554
92.0,50.6,-8.1,0.0,2.5764069957843114,0.0015428402517704814
92.0,50.6,-7.9,0.0,2.6157347516052125,0.0015103935754907693
92.0,50.6,-7.6,0.0,2.67674444453459,0.0014675440364920883
92.0,50.6,-7.4,0.0,2.718827177104221,0.0014421174916746098
